"GEO_ID","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M","NAME"
"id","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Geographic Area Name"
"0500000US01003","68096","3456","7.4","1.7","5.5","1.7","12.3","2.1","10.1","1.7","17.1","3.0","19.9","3.3","11.1","2.3","8.5","1.7","4.2","1.1","3.9","1.2","47502","2902","64806","4225","30.3","(X)","(X)","(X)","(X)","(X)","48021","3137","4.4","1.6","3.5","1.4","8.2","1.9","8.8","2.0","17.6","3.8","23.0","4.0","13.7","2.9","10.3","2.2","5.5","1.5","5.0","1.4","56784","3000","74045","4180","(X)","(X)","31.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","62924","3551","N","N","(X)","(X)","(X)","(X)","(X)","(X)","20075","2075","15.6","4.4","11.1","4.2","22.5","5.6","12.9","3.9","16.1","4.3","12.3","3.4","3.5","1.9","3.5","2.5","1.1","1.1","1.4","1.8","25565","3734","40740","8685","(X)","(X)","(X)","(X)","26.9","(X)","Baldwin County, Alabama"
"0500000US01015","45862","1776","14.5","2.7","8.7","2.3","14.0","2.8","11.0","2.4","13.4","2.5","17.1","2.9","10.3","2.2","7.7","2.0","1.8","0.9","1.5","1.1","36675","3304","48098","3239","35.5","(X)","(X)","(X)","(X)","(X)","30555","1764","9.7","2.9","4.3","1.9","11.3","3.1","9.8","3.1","15.1","3.4","21.4","3.9","13.2","2.9","10.4","2.7","2.7","1.4","2.3","1.6","49953","5860","58342","4319","(X)","(X)","34.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","61073","6327","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15307","1794","24.2","5.0","17.6","5.1","19.8","5.7","15.1","4.9","10.2","3.6","7.0","2.6","3.7","2.8","2.4","2.0","0.0","1.1","0.0","1.1","18489","2793","26263","2991","(X)","(X)","(X)","(X)","35.2","(X)","Calhoun County, Alabama"
"0500000US01043","29666","1543","12.9","3.5","7.3","2.0","18.4","4.1","10.5","2.9","20.7","4.2","10.6","2.9","9.2","3.0","7.0","2.1","2.0","1.2","1.4","1.2","35786","4997","47449","4667","24.0","(X)","(X)","(X)","(X)","(X)","21119","1597","9.8","3.6","3.5","1.7","13.4","4.1","11.3","3.7","22.9","5.1","13.9","3.8","11.2","4.1","9.3","2.9","2.8","1.7","1.9","1.7","42297","2763","56636","6126","(X)","(X)","24.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","50265","7605","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8547","1345","21.5","7.5","18.4","6.1","30.6","8.0","8.1","3.6","13.8","5.5","3.6","2.6","2.8","3.0","1.2","1.4","0.0","2.0","0.0","2.0","19220","2794","23614","3645","(X)","(X)","(X)","(X)","24.0","(X)","Cullman County, Alabama"
"0500000US01049","25738","1362","9.3","2.8","8.3","2.4","15.9","3.8","15.5","4.2","16.0","3.7","19.7","4.1","5.8","2.1","7.4","2.9","0.5","0.6","1.6","1.2","35967","4647","50031","7276","29.7","(X)","(X)","(X)","(X)","(X)","19977","1547","6.0","2.8","3.5","1.7","18.0","4.8","14.9","4.8","16.9","3.9","22.3","5.0","7.2","2.6","8.7","3.5","0.6","0.7","1.9","1.6","40398","4849","55694","9217","(X)","(X)","27.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","50056","5359","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5761","1035","20.8","8.2","25.6","8.4","16.2","7.8","15.7","7.5","12.6","8.8","4.8","3.2","0.7","1.3","2.9","3.9","0.0","2.9","0.8","1.3","18451","5824","27870","6979","(X)","(X)","(X)","(X)","34.2","(X)","DeKalb County, Alabama"
"0500000US01051","28860","1646","4.9","2.1","4.6","2.0","10.1","2.7","13.6","3.3","13.1","3.5","22.1","3.6","11.3","3.2","14.8","3.2","2.8","1.5","2.5","1.4","52222","3938","65099","4131","25.4","(X)","(X)","(X)","(X)","(X)","21881","2034","3.7","2.0","1.8","1.0","7.2","2.6","11.1","3.5","13.6","4.1","22.1","4.1","14.6","4.1","18.9","4.3","3.7","2.0","3.3","1.9","64118","6228","75112","6233","(X)","(X)","26.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","74625","5958","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6979","1253","10.8","5.7","13.2","6.9","19.8","8.2","21.3","8.3","13.0","6.1","19.7","7.0","0.0","2.4","2.2","3.3","0.0","2.4","0.0","2.4","27110","4621","32365","4256","(X)","(X)","(X)","(X)","19.6","(X)","Elmore County, Alabama"
"0500000US01055","39731","1516","11.0","2.4","7.6","1.8","16.9","2.7","12.4","2.4","21.4","3.7","15.8","3.1","6.6","2.0","5.8","2.0","1.4","0.8","1.0","0.8","35897","2125","46442","3658","28.9","(X)","(X)","(X)","(X)","(X)","27285","1734","5.8","2.5","4.8","2.0","14.6","3.3","14.4","3.0","24.1","4.0","16.8","4.0","9.4","2.9","7.0","2.5","1.7","1.0","1.4","1.2","39636","2869","53205","4825","(X)","(X)","27.5","(X)","(X)","(X)","19239","1750","1.0","0.8","2.7","1.5","14.3","3.9","13.8","3.4","22.9","4.0","19.7","4.9","12.2","3.8","9.3","3.5","2.0","1.3","1.9","1.7","45757","4617","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12446","1307","22.9","6.5","13.9","4.0","22.9","5.6","9.9","3.7","13.9","5.6","12.0","5.0","0.9","1.0","3.1","2.9","0.4","0.7","0.1","0.2","19785","2499","29962","4670","(X)","(X)","(X)","(X)","31.9","(X)","Etowah County, Alabama"
"0500000US01069","40206","1029","10.7","1.5","6.7","1.3","15.5","2.1","12.8","1.8","14.7","1.6","16.9","1.8","10.6","1.7","8.7","1.4","1.8","0.5","1.6","0.6","38579","2509","52267","2218","30.6","(X)","(X)","(X)","(X)","(X)","27423","1147","6.6","1.4","3.8","1.1","11.8","2.2","12.6","2.4","15.5","2.1","19.0","2.3","14.7","2.3","11.5","1.8","2.3","0.7","2.3","0.9","49661","3241","62349","2832","(X)","(X)","32.3","(X)","(X)","(X)","19444","1145","1.6","0.7","1.9","0.8","7.8","2.6","10.6","1.9","15.2","2.4","22.7","3.1","18.9","3.2","15.0","2.4","3.2","1.0","3.2","1.2","61879","1858","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12783","1127","20.4","3.2","13.6","3.3","24.4","4.4","13.0","2.9","13.8","3.2","10.5","2.7","1.7","1.1","1.8","1.0","0.6","0.6","0.2","0.3","21971","1825","28930","2264","(X)","(X)","(X)","(X)","26.1","(X)","Houston County, Alabama"
"0500000US01073","257219","3375","10.7","1.0","6.6","0.8","13.3","1.1","11.5","1.0","15.7","1.1","16.6","1.1","9.2","0.8","9.8","0.9","4.0","0.6","2.7","0.4","41583","1131","60247","1803","28.1","(X)","(X)","(X)","(X)","(X)","165087","4695","7.3","1.1","3.5","0.7","11.3","1.2","11.1","1.3","15.0","1.3","18.1","1.4","11.5","1.1","12.8","1.3","5.5","0.9","3.9","0.7","51458","1455","71691","2402","(X)","(X)","29.6","(X)","(X)","(X)","104546","4188","1.4","0.6","1.8","0.7","7.5","1.5","7.9","1.3","13.9","1.8","19.9","2.1","15.7","1.5","18.4","1.9","7.7","1.3","6.0","1.0","71849","3512","91840","3301","(X)","(X)","(X)","(X)","(X)","(X)","92132","4329","17.1","1.8","12.1","1.8","17.6","2.1","12.2","1.8","16.6","2.0","13.5","1.8","4.5","1.0","4.4","1.1","1.4","0.6","0.7","0.3","27106","1871","38941","2537","(X)","(X)","(X)","(X)","24.9","(X)","Jefferson County, Alabama"
"0500000US01077","38644","1590","11.6","2.5","9.6","2.8","11.9","2.2","12.1","2.6","14.8","3.0","17.6","3.5","10.6","2.5","8.2","2.0","1.9","1.0","1.8","1.1","38661","3423","51465","2987","29.7","(X)","(X)","(X)","(X)","(X)","25056","1474","4.9","2.3","5.3","2.6","11.2","2.8","12.5","3.9","14.0","3.2","20.8","4.6","14.5","3.7","11.4","2.5","2.6","1.5","2.7","1.6","51263","3151","63631","4392","(X)","(X)","30.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","65039","6426","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13588","1430","23.9","4.8","17.6","6.0","16.5","4.3","11.3","3.8","16.3","5.2","8.2","3.5","3.5","2.3","2.3","2.9","0.5","0.8","0.0","1.3","18974","2649","27370","3505","(X)","(X)","(X)","(X)","28.6","(X)","Lauderdale County, Alabama"
